companyID,candleTime,closePrice,MaxCandleTime,Close,maxProfit,Name
28,"2016-02-04 12:15:00",70.15,"2016-02-04 12:30:00",70.05,-0.10,HINDALCO
28,"2016-02-17 11:30:00",64.35,"2016-02-17 15:15:00",66.15,1.80,HINDALCO
28,"2016-02-17 11:45:00",64.15,"2016-02-17 15:15:00",66.15,2.00,HINDALCO
28,"2016-02-17 12:00:00",64.15,"2016-02-17 15:15:00",66.15,2.00,HINDALCO
28,"2016-02-17 12:45:00",63.80,"2016-02-17 15:15:00",66.15,2.35,HINDALCO
28,"2016-03-03 10:30:00",77.70,"2016-03-03 14:00:00",79.70,2.00,HINDALCO
28,"2015-11-10 14:15:00",80.30,"2015-11-10 14:30:00",79.75,-0.55,HINDALCO
28,"2015-08-25 13:00:00",81.15,"2015-08-25 13:45:00",81.55,0.40,HINDALCO
29,"2017-11-07 13:30:00",440.05,"2017-11-07 15:15:00",447.00,6.95,HINDPETRO
29,"2016-11-15 14:00:00",287.87,"2016-11-15 15:00:00",297.00,9.13,HINDPETRO
29,"2016-01-19 14:00:00",185.37,"2016-01-19 14:15:00",185.05,-0.32,HINDPETRO
29,"2016-02-17 11:30:00",156.08,"2016-02-17 14:30:00",157.52,1.44,HINDPETRO
29,"2016-02-29 14:15:00",152.35,"2016-02-29 14:45:00",153.89,1.54,HINDPETRO
29,"2016-03-30 11:30:00",177.13,"2016-03-30 11:45:00",177.43,0.30,HINDPETRO
29,"2015-08-25 14:15:00",181.20,"2015-08-25 15:15:00",182.93,1.73,HINDPETRO
29,"2015-04-30 11:00:00",140.72,"2015-04-30 11:15:00",141.47,0.75,HINDPETRO
29,"2015-01-29 10:45:00",139.50,"2015-01-29 15:15:00",141.98,2.48,HINDPETRO
29,"2014-11-07 12:45:00",128.38,"2014-11-07 13:15:00",128.91,0.53,HINDPETRO
31,"2017-10-03 09:30:00",307.90,"2017-10-03 14:30:00",310.75,2.85,HINDZINC
31,"2017-05-26 11:15:00",241.50,"2017-05-26 11:30:00",242.75,1.25,HINDZINC
31,"2016-11-09 10:30:00",243.45,"2016-11-09 15:00:00",253.40,9.95,HINDZINC
31,"2016-11-09 11:30:00",246.95,"2016-11-09 15:00:00",253.40,6.45,HINDZINC
31,"2016-11-09 11:45:00",246.65,"2016-11-09 15:00:00",253.40,6.75,HINDZINC
31,"2016-08-05 10:15:00",217.75,"2016-08-05 11:00:00",219.35,1.60,HINDZINC
31,"2016-01-27 15:00:00",158.35,"2016-01-27 15:15:00",162.90,4.55,HINDZINC
31,"2015-10-07 13:45:00",146.80,"2015-10-07 15:15:00",148.90,2.10,HINDZINC
31,"2015-02-09 11:00:00",171.45,"2015-02-09 13:15:00",176.60,5.15,HINDZINC
31,"2015-02-10 10:45:00",175.80,"2015-02-10 15:15:00",179.15,3.35,HINDZINC
32,"2018-02-02 11:45:00",1343.95,"2018-02-02 13:00:00",1353.50,9.55,IBULHSGFIN
32,"2017-05-26 14:45:00",1084.35,"2017-05-26 15:00:00",1086.85,2.50,IBULHSGFIN
32,"2016-12-30 10:15:00",658.25,"2016-12-30 10:45:00",656.50,-1.75,IBULHSGFIN
32,"2017-01-02 11:30:00",671.80,"2017-01-02 14:45:00",682.85,11.05,IBULHSGFIN
32,"2016-11-09 13:00:00",693.10,"2016-11-09 14:30:00",735.05,41.95,IBULHSGFIN
32,"2016-11-09 15:00:00",724.25,"2016-11-09 15:15:00",724.70,0.45,IBULHSGFIN
32,"2016-11-11 12:45:00",704.00,"2016-11-11 13:00:00",707.50,3.50,IBULHSGFIN
32,"2015-11-19 09:30:00",625.85,"2015-11-19 09:45:00",615.70,-10.15,IBULHSGFIN
32,"2015-11-23 14:30:00",678.75,"2015-11-23 15:15:00",683.00,4.25,IBULHSGFIN
32,"2015-08-26 11:00:00",748.90,"2015-08-26 15:15:00",762.00,13.10,IBULHSGFIN
32,"2015-06-29 14:15:00",604.00,"2015-06-29 15:15:00",613.00,9.00,IBULHSGFIN
32,"2015-07-24 11:45:00",729.30,"2015-07-24 14:30:00",737.10,7.80,IBULHSGFIN
32,"2015-01-15 12:45:00",524.50,"2015-01-15 14:30:00",538.70,14.20,IBULHSGFIN
32,"2015-01-27 11:15:00",606.40,"2015-01-27 14:00:00",630.00,23.60,IBULHSGFIN
32,"2014-11-03 14:15:00",440.80,"2014-11-03 14:45:00",451.65,10.85,IBULHSGFIN
33,"2017-10-25 14:15:00",309.65,"2017-10-25 15:00:00",307.20,-2.45,ICICIBANK
33,"2016-11-09 09:45:00",248.82,"2016-11-09 14:30:00",257.14,8.32,ICICIBANK
33,"2016-11-09 10:45:00",242.14,"2016-11-09 14:30:00",257.14,15.00,ICICIBANK
33,"2016-11-09 13:45:00",253.86,"2016-11-09 14:30:00",257.14,3.28,ICICIBANK
33,"2016-11-09 14:15:00",256.45,"2016-11-09 14:30:00",257.14,0.69,ICICIBANK
33,"2015-08-25 12:45:00",254.36,"2015-08-25 15:15:00",258.18,3.82,ICICIBANK
33,"2015-07-31 13:30:00",278.27,"2015-07-31 13:45:00",277.50,-0.77,ICICIBANK
33,"2015-04-28 09:30:00",285.95,"2015-04-28 14:30:00",295.32,9.37,ICICIBANK
34,"2018-02-01 14:15:00",424.40,"2018-02-01 14:30:00",427.00,2.60,ICICIPRULI
34,"2017-10-03 10:00:00",407.45,"2017-10-03 14:45:00",415.15,7.70,ICICIPRULI
34,"2016-09-30 11:15:00",308.20,"2016-09-30 14:45:00",310.60,2.40,ICICIPRULI
35,"2017-10-23 12:30:00",98.30,"2017-10-23 15:15:00",98.80,0.50,IDEA
35,"2017-11-01 12:00:00",98.40,"2017-11-01 14:00:00",99.90,1.50,IDEA
35,"2017-05-08 14:45:00",87.95,"2017-05-08 15:00:00",87.80,-0.15,IDEA
35,"2017-05-08 15:00:00",87.80,"2017-05-08 15:15:00",87.50,-0.30,IDEA
35,"2017-01-31 13:15:00",115.90,"2017-01-31 13:30:00",115.85,-0.05,IDEA
35,"2016-11-09 10:30:00",70.25,"2016-11-09 13:45:00",72.50,2.25,IDEA
35,"2016-11-09 10:30:00",70.25,"2016-11-09 15:15:00",72.50,2.25,IDEA
35,"2016-04-18 11:15:00",121.60,"2016-04-18 11:45:00",121.10,-0.50,IDEA
35,"2016-01-14 12:30:00",121.00,"2016-01-14 13:15:00",121.60,0.60,IDEA
35,"2015-08-25 14:30:00",151.50,"2015-08-25 15:15:00",151.50,0.00,IDEA
35,"2015-03-12 10:45:00",167.90,"2015-03-12 14:30:00",174.80,6.90,IDEA
35,"2015-03-12 10:45:00",167.90,"2015-03-12 14:45:00",174.80,6.90,IDEA
35,"2015-03-12 10:45:00",167.90,"2015-03-12 15:00:00",174.80,6.90,IDEA
36,"2016-11-09 09:45:00",1192.25,"2016-11-09 14:15:00",1203.30,11.05,INDUSINDBK
36,"2016-02-29 13:30:00",831.20,"2016-02-29 15:15:00",837.00,5.80,INDUSINDBK
36,"2015-03-02 14:45:00",943.75,"2015-03-02 15:00:00",946.20,2.45,INDUSINDBK
37,"2017-07-03 11:45:00",390.75,"2017-07-03 15:00:00",398.00,7.25,INFRATEL
37,"2017-07-03 11:45:00",390.75,"2017-07-03 15:15:00",398.00,7.25,INFRATEL
37,"2017-03-29 11:45:00",330.85,"2017-03-29 15:15:00",338.00,7.15,INFRATEL
37,"2016-11-09 10:15:00",356.15,"2016-11-09 15:15:00",365.45,9.30,INFRATEL
37,"2016-07-27 11:30:00",377.15,"2016-07-27 15:00:00",381.70,4.55,INFRATEL
37,"2016-01-27 14:30:00",388.00,"2016-01-27 14:45:00",387.05,-0.95,INFRATEL
37,"2016-02-29 13:45:00",369.45,"2016-02-29 14:00:00",368.70,-0.75,INFRATEL
37,"2016-03-01 12:45:00",375.30,"2016-03-01 13:45:00",375.50,0.20,INFRATEL
37,"2015-08-31 10:15:00",423.65,"2015-08-31 11:00:00",423.25,-0.40,INFRATEL
37,"2015-09-22 12:00:00",415.90,"2015-09-22 15:15:00",418.00,2.10,INFRATEL
37,"2015-10-01 11:15:00",379.45,"2015-10-01 15:00:00",398.60,19.15,INFRATEL
37,"2015-10-01 14:30:00",390.80,"2015-10-01 15:00:00",398.60,7.80,INFRATEL
37,"2015-10-05 09:30:00",411.75,"2015-10-05 13:45:00",418.45,6.70,INFRATEL
37,"2015-10-05 10:15:00",411.00,"2015-10-05 13:45:00",418.45,7.45,INFRATEL
37,"2015-10-19 11:15:00",408.50,"2015-10-19 15:00:00",415.05,6.55,INFRATEL
37,"2015-06-10 09:45:00",461.80,"2015-06-10 10:00:00",460.00,-1.80,INFRATEL
37,"2015-06-11 11:00:00",460.90,"2015-06-11 11:30:00",473.25,12.35,INFRATEL
37,"2015-06-17 14:30:00",474.20,"2015-06-17 15:15:00",474.90,0.70,INFRATEL
37,"2015-06-17 15:00:00",474.20,"2015-06-17 15:15:00",474.90,0.70,INFRATEL
37,"2015-07-17 11:00:00",472.35,"2015-07-17 11:15:00",472.00,-0.35,INFRATEL
37,"2015-04-27 12:00:00",392.85,"2015-04-27 15:15:00",397.00,4.15,INFRATEL
37,"2015-05-29 12:15:00",459.70,"2015-05-29 15:00:00",479.95,20.25,INFRATEL
37,"2015-05-29 13:45:00",467.75,"2015-05-29 15:00:00",479.95,12.20,INFRATEL
37,"2015-05-29 14:00:00",469.45,"2015-05-29 15:00:00",479.95,10.50,INFRATEL
37,"2014-12-04 11:30:00",297.00,"2014-12-04 11:45:00",296.80,-0.20,INFRATEL
37,"2014-12-11 09:30:00",350.75,"2014-12-11 12:15:00",354.20,3.45,INFRATEL
37,"2014-12-15 13:45:00",349.80,"2014-12-15 14:00:00",349.95,0.15,INFRATEL
37,"2015-01-01 13:15:00",339.20,"2015-01-01 14:00:00",340.00,0.80,INFRATEL
