id_15_min_candles,company_id,currCandleTime,currClosePrice,prevCandleTIme,prevOpenPrice,company
1266458,9,"2016-11-09 13:45:00",3019.80,"2016-11-09 11:30:00",2915.00,BAJAJFINSV
1266458,9,"2016-11-09 13:45:00",3019.80,"2016-11-09 11:45:00",2927.95,BAJAJFINSV
1266458,9,"2016-11-09 13:45:00",3019.80,"2016-11-09 12:00:00",2927.55,BAJAJFINSV
1266458,9,"2016-11-09 13:45:00",3019.80,"2016-11-09 12:15:00",2925.00,BAJAJFINSV
1266458,9,"2016-11-09 13:45:00",3019.80,"2016-11-09 12:30:00",2927.05,BAJAJFINSV
1266458,9,"2016-11-09 13:45:00",3019.80,"2016-11-09 12:45:00",2932.00,BAJAJFINSV
1266458,9,"2016-11-09 13:45:00",3019.80,"2016-11-09 13:00:00",2942.05,BAJAJFINSV
1266549,9,"2016-11-16 11:30:00",2950.05,"2016-11-16 09:45:00",2873.65,BAJAJFINSV
1266549,9,"2016-11-16 11:30:00",2950.05,"2016-11-16 10:00:00",2875.05,BAJAJFINSV
1268573,9,"2016-10-14 11:15:00",3215.30,"2016-10-14 09:15:00",3121.60,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 11:30:00",1939.90,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 11:45:00",1948.00,BAJAJFINSV
1269264,9,"2016-06-24 14:15:00",2066.00,"2016-06-24 11:45:00",1948.00,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 12:00:00",1930.00,BAJAJFINSV
1269264,9,"2016-06-24 14:15:00",2066.00,"2016-06-24 12:00:00",1930.00,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 12:15:00",1926.20,BAJAJFINSV
1269264,9,"2016-06-24 14:15:00",2066.00,"2016-06-24 12:15:00",1926.20,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 12:30:00",1922.45,BAJAJFINSV
1269264,9,"2016-06-24 14:15:00",2066.00,"2016-06-24 12:30:00",1922.45,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 12:45:00",1930.00,BAJAJFINSV
1269264,9,"2016-06-24 14:15:00",2066.00,"2016-06-24 12:45:00",1930.00,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 13:00:00",1943.95,BAJAJFINSV
1269264,9,"2016-06-24 14:15:00",2066.00,"2016-06-24 13:00:00",1943.95,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 13:15:00",1971.00,BAJAJFINSV
1269264,9,"2016-06-24 14:15:00",2066.00,"2016-06-24 13:15:00",1971.00,BAJAJFINSV
1269263,9,"2016-06-24 14:00:00",2061.00,"2016-06-24 13:30:00",2000.85,BAJAJFINSV
1269264,9,"2016-06-24 14:15:00",2066.00,"2016-06-24 13:30:00",2000.85,BAJAJFINSV
1270573,9,"2016-04-13 10:15:00",1831.00,"2016-04-13 09:15:00",1780.00,BAJAJFINSV
1270599,9,"2016-04-18 10:30:00",1890.00,"2016-04-18 09:15:00",1815.05,BAJAJFINSV
1270826,9,"2016-05-02 11:00:00",1888.70,"2016-05-02 09:15:00",1837.80,BAJAJFINSV
1272391,9,"2016-03-01 14:45:00",1680.00,"2016-03-01 12:15:00",1636.05,BAJAJFINSV
1272391,9,"2016-03-01 14:45:00",1680.00,"2016-03-01 12:30:00",1636.05,BAJAJFINSV
1274349,9,"2015-09-01 10:00:00",1838.00,"2015-09-01 09:30:00",1785.00,BAJAJFINSV
1275791,9,"2015-06-29 11:45:00",1505.00,"2015-06-29 09:15:01",1435.15,BAJAJFINSV
1275906,9,"2015-07-06 10:00:00",1747.95,"2015-07-06 09:15:00",1675.00,BAJAJFINSV
1275909,9,"2015-07-06 10:45:00",1735.00,"2015-07-06 09:15:00",1675.00,BAJAJFINSV
1275906,9,"2015-07-06 10:00:00",1747.95,"2015-07-06 09:30:00",1685.70,BAJAJFINSV
1275909,9,"2015-07-06 10:45:00",1735.00,"2015-07-06 09:30:00",1685.70,BAJAJFINSV
