companyID,MainCandleTime,MainCandleClose,MinCandleTime,MinCLose,MaxLoss,Name
55,"2017-12-18 10:15:00",171.60,"2017-12-18 10:30:00",171.85,-0.25,PNB
55,"2018-01-24 14:00:00",193.40,"2018-01-24 14:45:00",193.30,0.10,PNB
55,"2017-05-16 13:45:00",177.15,"2017-05-16 15:15:00",173.10,4.05,PNB
55,"2017-05-25 14:45:00",149.20,"2017-05-25 15:00:00",150.60,-1.40,PNB
55,"2016-11-09 14:15:00",143.20,"2016-11-09 15:15:00",142.00,1.20,PNB
55,"2016-07-14 11:30:00",130.80,"2016-07-14 12:00:00",131.10,-0.30,PNB
55,"2016-07-14 13:45:00",133.50,"2016-07-14 14:30:00",132.00,1.50,PNB
55,"2016-08-12 13:45:00",122.60,"2016-08-12 14:45:00",122.50,0.10,PNB
55,"2016-06-08 12:45:00",80.45,"2016-06-08 14:15:00",80.50,-0.05,PNB
55,"2016-06-08 12:45:00",80.45,"2016-06-08 15:15:00",80.50,-0.05,PNB
55,"2016-02-17 11:30:00",71.80,"2016-02-17 13:00:00",70.90,0.90,PNB
55,"2016-02-19 12:45:00",75.55,"2016-02-19 13:30:00",75.80,-0.25,PNB
55,"2016-02-19 12:45:00",75.55,"2016-02-19 13:45:00",75.80,-0.25,PNB
55,"2016-03-04 11:30:00",82.10,"2016-03-04 12:15:00",81.15,0.95,PNB
55,"2015-09-29 11:15:00",135.10,"2015-09-29 11:30:00",134.20,0.90,PNB
55,"2015-09-29 12:15:00",135.55,"2015-09-29 15:15:00",134.60,0.95,PNB
55,"2015-07-31 10:15:00",151.80,"2015-07-31 12:15:00",149.60,2.20,PNB
56,"2017-04-19 11:30:00",210.80,"2017-04-19 11:45:00",209.00,1.80,POWERGRID
56,"2016-11-09 10:00:00",174.00,"2016-11-09 10:15:00",174.10,-0.10,POWERGRID
56,"2016-11-09 10:00:00",174.00,"2016-11-09 10:30:00",174.10,-0.10,POWERGRID
57,"2016-11-09 09:45:00",488.43,"2016-11-09 10:15:00",481.30,7.13,RELIANCE
57,"2016-11-09 11:00:00",489.80,"2016-11-09 11:15:00",488.95,0.85,RELIANCE
57,"2016-02-17 11:30:00",471.53,"2016-02-17 13:00:00",468.25,3.28,RELIANCE
57,"2016-02-29 13:45:00",487.68,"2016-02-29 14:45:00",479.85,7.83,RELIANCE
57,"2015-08-25 12:45:00",424.48,"2015-08-25 15:00:00",423.28,1.20,RELIANCE
58,"2016-11-09 09:45:00",249.25,"2016-11-09 10:30:00",242.85,6.40,SBIN
58,"2016-11-09 13:45:00",258.50,"2016-11-09 14:15:00",259.55,-1.05,SBIN
58,"2016-11-09 13:45:00",258.50,"2016-11-09 14:45:00",259.55,-1.05,SBIN
58,"2016-08-12 14:15:00",244.05,"2016-08-12 15:00:00",243.10,0.95,SBIN
58,"2016-02-17 10:45:00",156.70,"2016-02-17 12:30:00",155.70,1.00,SBIN
58,"2016-02-29 13:30:00",161.05,"2016-02-29 14:30:00",158.20,2.85,SBIN
58,"2015-11-09 10:15:00",245.85,"2015-11-09 11:45:00",242.80,3.05,SBIN
58,"2015-08-25 14:30:00",253.05,"2015-08-25 14:45:00",252.70,0.35,SBIN
59,"2017-07-31 13:30:00",18094.00,"2017-07-31 14:00:00",18100.00,-6.00,SHREECEM
59,"2016-11-21 14:45:00",14375.00,"2016-11-21 15:15:00",14310.00,65.00,SHREECEM
59,"2016-12-30 13:00:00",14764.40,"2016-12-30 15:00:00",14699.05,65.35,SHREECEM
